date,ticker,mo_period,entry_price,exit_price,exit_date
20150107,INTC,5,35.506725,35.83202,20150114
20150107,INTC,10,35.506725,36.384042,20150122
20150107,INTC,20,35.506725,33.696337,20150205
20150108,AAPL,5,110.986554,105.957492,20150115
20150108,AAPL,10,110.986554,112.067757,20150123
20150108,AAPL,20,110.986554,118.435288,20150206
20150108,INTC,5,36.167176,35.6743,20150115
20150108,INTC,10,36.167176,35.930598,20150123
20150108,INTC,20,36.167176,33.060932,20150206
20150114,INTC,5,35.83202,36.384042,20150122
20150114,INTC,10,35.83202,33.722515,20150129
20150114,INTC,20,35.83202,33.884975,20150212
20150116,INTC,5,35.930598,35.299718,20150126
20150116,INTC,10,35.930598,33.170498,20150202
20150116,INTC,20,35.930598,34.490596,20150217
20150122,AAPL,5,111.492439,117.939955,20150129
20150122,AAPL,10,111.492439,119.441089,20150205
20150122,AAPL,20,111.492439,128.96132,20150220
20150122,INTC,5,36.384042,33.722515,20150129
20150122,INTC,10,36.384042,33.696337,20150205
20150122,INTC,20,36.384042,34.162964,20150220
20150129,AAPL,5,117.939955,119.441089,20150205
20150129,AAPL,10,117.939955,125.933965,20150212
20150129,AAPL,20,117.939955,127.925653,20150227
